DriverNumber,Abbreviation,TeamName,Q1,Q2,Q3,Position,Year,Event,RoundNumber,SessionType
27,HUL,Kick Sauber,70.195,,,17.0,2025,Dutch,15,Qualifying
31,OCO,Haas F1 Team,70.197,,,18.0,2025,Dutch,15,Qualifying
87,BEA,Haas F1 Team,70.262,,,19.0,2025,Dutch,15,Qualifying
18,STR,Aston Martin,,,,20.0,2025,Dutch,15,Qualifying
1,VER,Red Bull Racing,79.455,79.14,78.792,1.0,2025,Italian,16,Qualifying
4,NOR,McLaren,79.517,79.293,78.869,2.0,2025,Italian,16,Qualifying
81,PIA,McLaren,79.711,79.286,78.982,3.0,2025,Italian,16,Qualifying
16,LEC,Ferrari,79.689,79.31,79.007,4.0,2025,Italian,16,Qualifying
44,HAM,Ferrari,79.765,79.371,79.124,5.0,2025,Italian,16,Qualifying
63,RUS,Mercedes,79.414,79.287,79.157,6.0,2025,Italian,16,Qualifying
12,ANT,Mercedes,79.747,79.245,79.2,7.0,2025,Italian,16,Qualifying
5,BOR,Kick Sauber,79.688,79.323,79.39,8.0,2025,Italian,16,Qualifying
14,ALO,Aston Martin,79.658,79.362,79.424,9.0,2025,Italian,16,Qualifying
22,TSU,Red Bull Racing,79.619,79.433,79.519,10.0,2025,Italian,16,Qualifying
87,BEA,Haas F1 Team,79.688,79.446,,11.0,2025,Italian,16,Qualifying
27,HUL,Kick Sauber,79.777,79.498,,12.0,2025,Italian,16,Qualifying
55,SAI,Williams,79.644,79.528,,13.0,2025,Italian,16,Qualifying
23,ALB,Williams,79.837,79.583,,14.0,2025,Italian,16,Qualifying
31,OCO,Haas F1 Team,79.816,79.707,,15.0,2025,Italian,16,Qualifying
6,HAD,Racing Bulls,79.917,,,16.0,2025,Italian,16,Qualifying
18,STR,Aston Martin,79.948,,,17.0,2025,Italian,16,Qualifying
43,COL,Alpine,79.992,,,18.0,2025,Italian,16,Qualifying
10,GAS,Alpine,80.103,,,19.0,2025,Italian,16,Qualifying
30,LAW,Racing Bulls,80.279,,,20.0,2025,Italian,16,Qualifying
1,VER,Red Bull Racing,101.331,101.255,101.117,1.0,2025,Azerbaijan,17,Qualifying
55,SAI,Williams,102.635,101.675,101.595,2.0,2025,Azerbaijan,17,Qualifying
30,LAW,Racing Bulls,102.257,101.537,101.707,3.0,2025,Azerbaijan,17,Qualifying
12,ANT,Mercedes,102.247,101.464,101.717,4.0,2025,Azerbaijan,17,Qualifying
63,RUS,Mercedes,101.646,101.455,102.07,5.0,2025,Azerbaijan,17,Qualifying
22,TSU,Red Bull Racing,102.347,101.788,102.143,6.0,2025,Azerbaijan,17,Qualifying
4,NOR,McLaren,101.322,101.396,102.239,7.0,2025,Azerbaijan,17,Qualifying
6,HAD,Racing Bulls,101.656,101.647,102.372,8.0,2025,Azerbaijan,17,Qualifying
81,PIA,McLaren,101.839,101.414,,9.0,2025,Azerbaijan,17,Qualifying
16,LEC,Ferrari,101.458,101.519,,10.0,2025,Azerbaijan,17,Qualifying
14,ALO,Aston Martin,102.211,101.857,,11.0,2025,Azerbaijan,17,Qualifying
44,HAM,Ferrari,101.821,102.183,,12.0,2025,Azerbaijan,17,Qualifying
5,BOR,Kick Sauber,102.511,102.277,,13.0,2025,Azerbaijan,17,Qualifying
18,STR,Aston Martin,102.101,103.061,,14.0,2025,Azerbaijan,17,Qualifying
87,BEA,Haas F1 Team,102.666,,,15.0,2025,Azerbaijan,17,Qualifying
43,COL,Alpine,102.779,,,16.0,2025,Azerbaijan,17,Qualifying
27,HUL,Kick Sauber,102.916,,,17.0,2025,Azerbaijan,17,Qualifying
10,GAS,Alpine,103.139,,,18.0,2025,Azerbaijan,17,Qualifying
23,ALB,Williams,103.778,,,19.0,2025,Azerbaijan,17,Qualifying
31,OCO,Haas F1 Team,,,,20.0,2025,Azerbaijan,17,Qualifying
63,RUS,Mercedes,89.928,89.562,89.158,1.0,2025,Singapore,18,Qualifying
1,VER,Red Bull Racing,90.028,89.572,89.34,2.0,2025,Singapore,18,Qualifying
81,PIA,McLaren,90.313,89.813,89.524,3.0,2025,Singapore,18,Qualifying
12,ANT,Mercedes,90.036,89.649,89.537,4.0,2025,Singapore,18,Qualifying
4,NOR,McLaren,89.932,89.809,89.586,5.0,2025,Singapore,18,Qualifying
44,HAM,Ferrari,89.765,89.936,89.688,6.0,2025,Singapore,18,Qualifying
16,LEC,Ferrari,90.37,89.914,89.784,7.0,2025,Singapore,18,Qualifying
6,HAD,Racing Bulls,90.214,90.016,89.846,8.0,2025,Singapore,18,Qualifying
87,BEA,Haas F1 Team,90.42,90.076,89.868,9.0,2025,Singapore,18,Qualifying
14,ALO,Aston Martin,90.745,90.054,89.955,10.0,2025,Singapore,18,Qualifying
27,HUL,Kick Sauber,90.715,90.141,,11.0,2025,Singapore,18,Qualifying
30,LAW,Racing Bulls,90.681,90.32,,12.0,2025,Singapore,18,Qualifying
22,TSU,Red Bull Racing,90.574,90.353,,13.0,2025,Singapore,18,Qualifying
5,BOR,Kick Sauber,90.82,,,14.0,2025,Singapore,18,Qualifying
18,STR,Aston Martin,90.949,,,15.0,2025,Singapore,18,Qualifying
43,COL,Alpine,90.982,,,16.0,2025,Singapore,18,Qualifying
31,OCO,Haas F1 Team,90.989,,,17.0,2025,Singapore,18,Qualifying
10,GAS,Alpine,91.261,,,18.0,2025,Singapore,18,Qualifying
23,ALB,Williams,,,,19.0,2025,Singapore,18,Qualifying
55,SAI,Williams,,,,20.0,2025,Singapore,18,Qualifying
1,VER,Red Bull Racing,93.207,92.701,92.51,1.0,2025,United States,19,Qualifying
4,NOR,McLaren,93.843,92.876,92.801,2.0,2025,United States,19,Qualifying
16,LEC,Ferrari,93.525,92.869,92.807,3.0,2025,United States,19,Qualifying
63,RUS,Mercedes,93.311,93.058,92.826,4.0,2025,United States,19,Qualifying
44,HAM,Ferrari,93.685,92.914,92.912,5.0,2025,United States,19,Qualifying
81,PIA,McLaren,93.746,93.228,93.084,6.0,2025,United States,19,Qualifying
12,ANT,Mercedes,93.501,93.044,93.114,7.0,2025,United States,19,Qualifying
87,BEA,Haas F1 Team,93.921,93.238,93.139,8.0,2025,United States,19,Qualifying
55,SAI,Williams,93.739,93.124,93.15,9.0,2025,United States,19,Qualifying
14,ALO,Aston Martin,93.741,93.237,93.16,10.0,2025,United States,19,Qualifying
27,HUL,Kick Sauber,93.551,93.334,,11.0,2025,United States,19,Qualifying
30,LAW,Racing Bulls,93.549,93.36,,12.0,2025,United States,19,Qualifying
22,TSU,Red Bull Racing,93.935,93.466,,13.0,2025,United States,19,Qualifying
10,GAS,Alpine,93.599,93.651,,14.0,2025,United States,19,Qualifying
43,COL,Alpine,94.039,94.044,,15.0,2025,United States,19,Qualifying
5,BOR,Kick Sauber,94.125,,,16.0,2025,United States,19,Qualifying
31,OCO,Haas F1 Team,94.136,,,17.0,2025,United States,19,Qualifying
18,STR,Aston Martin,94.54,,,18.0,2025,United States,19,Qualifying
23,ALB,Williams,94.69,,,19.0,2025,United States,19,Qualifying
6,HAD,Racing Bulls,,,,20.0,2025,United States,19,Qualifying
4,NOR,McLaren,76.899,76.252,75.586,1.0,2025,Mexico City,20,Qualifying
16,LEC,Ferrari,77.024,76.658,75.848,2.0,2025,Mexico City,20,Qualifying
44,HAM,Ferrari,76.736,76.458,75.938,3.0,2025,Mexico City,20,Qualifying
63,RUS,Mercedes,76.895,76.537,76.034,4.0,2025,Mexico City,20,Qualifying
1,VER,Red Bull Racing,77.076,76.605,76.07,5.0,2025,Mexico City,20,Qualifying
12,ANT,Mercedes,77.291,76.773,76.118,6.0,2025,Mexico City,20,Qualifying
55,SAI,Williams,77.171,76.607,76.172,7.0,2025,Mexico City,20,Qualifying
81,PIA,McLaren,77.158,76.737,76.174,8.0,2025,Mexico City,20,Qualifying
6,HAD,Racing Bulls,76.733,76.804,76.252,9.0,2025,Mexico City,20,Qualifying
87,BEA,Haas F1 Team,77.04,76.787,76.46,10.0,2025,Mexico City,20,Qualifying
22,TSU,Red Bull Racing,77.234,76.816,,11.0,2025,Mexico City,20,Qualifying
31,OCO,Haas F1 Team,76.948,76.837,,12.0,2025,Mexico City,20,Qualifying
27,HUL,Kick Sauber,77.251,77.016,,13.0,2025,Mexico City,20,Qualifying
14,ALO,Aston Martin,77.232,77.103,,14.0,2025,Mexico City,20,Qualifying
30,LAW,Racing Bulls,76.961,78.072,,15.0,2025,Mexico City,20,Qualifying
5,BOR,Kick Sauber,77.412,,,16.0,2025,Mexico City,20,Qualifying
23,ALB,Williams,77.49,,,17.0,2025,Mexico City,20,Qualifying
10,GAS,Alpine,77.546,,,18.0,2025,Mexico City,20,Qualifying
18,STR,Aston Martin,77.606,,,19.0,2025,Mexico City,20,Qualifying
43,COL,Alpine,77.67,,,20.0,2025,Mexico City,20,Qualifying
4,NOR,McLaren,69.656,69.616,69.511,1.0,2025,São Paulo,21,Qualifying
12,ANT,Mercedes,70.192,69.774,69.685,2.0,2025,São Paulo,21,Qualifying
16,LEC,Ferrari,69.934,69.801,69.805,3.0,2025,São Paulo,21,Qualifying
81,PIA,McLaren,69.928,69.835,69.886,4.0,2025,São Paulo,21,Qualifying
6,HAD,Racing Bulls,70.083,69.97,69.931,5.0,2025,São Paulo,21,Qualifying
63,RUS,Mercedes,69.935,69.88,69.942,6.0,2025,São Paulo,21,Qualifying
30,LAW,Racing Bulls,70.108,69.95,69.962,7.0,2025,São Paulo,21,Qualifying
87,BEA,Haas F1 Team,69.891,69.755,69.977,8.0,2025,São Paulo,21,Qualifying
10,GAS,Alpine,69.885,69.857,70.002,9.0,2025,São Paulo,21,Qualifying
27,HUL,Kick Sauber,70.337,69.985,70.039,10.0,2025,São Paulo,21,Qualifying
14,ALO,Aston Martin,70.181,70.001,,11.0,2025,São Paulo,21,Qualifying
23,ALB,Williams,70.115,70.053,,12.0,2025,São Paulo,21,Qualifying
44,HAM,Ferrari,70.016,70.1,,13.0,2025,São Paulo,21,Qualifying
18,STR,Aston Martin,70.041,70.161,,14.0,2025,São Paulo,21,Qualifying
55,SAI,Williams,70.184,70.472,,15.0,2025,São Paulo,21,Qualifying
1,VER,Red Bull Racing,70.403,,,16.0,2025,São Paulo,21,Qualifying
31,OCO,Haas F1 Team,70.438,,,17.0,2025,São Paulo,21,Qualifying
43,COL,Alpine,70.632,,,18.0,2025,São Paulo,21,Qualifying
22,TSU,Red Bull Racing,70.711,,,19.0,2025,São Paulo,21,Qualifying
5,BOR,Kick Sauber,,,,,2025,São Paulo,21,Qualifying
4,NOR,McLaren,115.473,111.379,107.934,1.0,2025,Las Vegas,22,Qualifying
1,VER,Red Bull Racing,113.458,111.593,108.257,2.0,2025,Las Vegas,22,Qualifying
55,SAI,Williams,114.873,111.144,108.296,3.0,2025,Las Vegas,22,Qualifying
63,RUS,Mercedes,113.144,110.935,108.803,4.0,2025,Las Vegas,22,Qualifying
81,PIA,McLaren,114.544,112.126,108.961,5.0,2025,Las Vegas,22,Qualifying
30,LAW,Racing Bulls,114.828,111.621,109.062,6.0,2025,Las Vegas,22,Qualifying
14,ALO,Aston Martin,113.739,111.865,109.466,7.0,2025,Las Vegas,22,Qualifying
6,HAD,Racing Bulls,115.613,111.12,109.554,8.0,2025,Las Vegas,22,Qualifying
16,LEC,Ferrari,114.814,111.952,109.872,9.0,2025,Las Vegas,22,Qualifying
10,GAS,Alpine,114.432,111.76,111.54,10.0,2025,Las Vegas,22,Qualifying
27,HUL,Kick Sauber,114.555,112.781,,11.0,2025,Las Vegas,22,Qualifying
18,STR,Aston Martin,114.416,112.85,,12.0,2025,Las Vegas,22,Qualifying
31,OCO,Haas F1 Team,114.635,112.987,,13.0,2025,Las Vegas,22,Qualifying
87,BEA,Haas F1 Team,116.016,113.094,,14.0,2025,Las Vegas,22,Qualifying
43,COL,Alpine,114.847,113.683,,15.0,2025,Las Vegas,22,Qualifying
23,ALB,Williams,116.22,,,16.0,2025,Las Vegas,22,Qualifying
12,ANT,Mercedes,116.314,,,17.0,2025,Las Vegas,22,Qualifying
5,BOR,Kick Sauber,116.674,,,18.0,2025,Las Vegas,22,Qualifying
22,TSU,Red Bull Racing,116.798,,,19.0,2025,Las Vegas,22,Qualifying
44,HAM,Ferrari,117.115,,,20.0,2025,Las Vegas,22,Qualifying
81,PIA,McLaren,80.234,79.65,79.387,1.0,2025,Qatar,23,Qualifying
4,NOR,McLaren,80.157,79.861,79.495,2.0,2025,Qatar,23,Qualifying
1,VER,Red Bull Racing,80.472,79.985,79.651,3.0,2025,Qatar,23,Qualifying
63,RUS,Mercedes,80.074,80.186,79.662,4.0,2025,Qatar,23,Qualifying
12,ANT,Mercedes,80.576,80.084,79.846,5.0,2025,Qatar,23,Qualifying
6,HAD,Racing Bulls,80.603,80.35,80.114,6.0,2025,Qatar,23,Qualifying
55,SAI,Williams,80.52,80.251,80.287,7.0,2025,Qatar,23,Qualifying
14,ALO,Aston Martin,80.598,80.219,80.418,8.0,2025,Qatar,23,Qualifying
10,GAS,Alpine,80.681,80.324,80.477,9.0,2025,Qatar,23,Qualifying
16,LEC,Ferrari,80.564,80.343,80.561,10.0,2025,Qatar,23,Qualifying
27,HUL,Kick Sauber,80.63,80.353,,11.0,2025,Qatar,23,Qualifying
30,LAW,Racing Bulls,80.539,80.433,,12.0,2025,Qatar,23,Qualifying
87,BEA,Haas F1 Team,80.548,80.438,,13.0,2025,Qatar,23,Qualifying
5,BOR,Kick Sauber,80.653,80.534,,14.0,2025,Qatar,23,Qualifying
23,ALB,Williams,80.629,80.629,,15.0,2025,Qatar,23,Qualifying
22,TSU,Red Bull Racing,80.761,,,16.0,2025,Qatar,23,Qualifying
31,OCO,Haas F1 Team,80.864,,,17.0,2025,Qatar,23,Qualifying
44,HAM,Ferrari,80.907,,,18.0,2025,Qatar,23,Qualifying
18,STR,Aston Martin,81.058,,,19.0,2025,Qatar,23,Qualifying
43,COL,Alpine,81.137,,,20.0,2025,Qatar,23,Qualifying
1,VER,Red Bull Racing,82.877,82.752,82.207,1.0,2025,Abu Dhabi,24,Qualifying
4,NOR,McLaren,83.178,82.804,82.408,2.0,2025,Abu Dhabi,24,Qualifying
81,PIA,McLaren,82.605,83.021,82.437,3.0,2025,Abu Dhabi,24,Qualifying
63,RUS,Mercedes,83.247,82.73,82.645,4.0,2025,Abu Dhabi,24,Qualifying
16,LEC,Ferrari,83.163,82.948,82.73,5.0,2025,Abu Dhabi,24,Qualifying
14,ALO,Aston Martin,83.071,82.861,82.902,6.0,2025,Abu Dhabi,24,Qualifying
5,BOR,Kick Sauber,83.374,82.874,82.904,7.0,2025,Abu Dhabi,24,Qualifying
31,OCO,Haas F1 Team,83.334,83.023,82.913,8.0,2025,Abu Dhabi,24,Qualifying
6,HAD,Racing Bulls,83.373,82.997,83.072,9.0,2025,Abu Dhabi,24,Qualifying
22,TSU,Red Bull Racing,83.386,83.034,,10.0,2025,Abu Dhabi,24,Qualifying
87,BEA,Haas F1 Team,83.254,83.041,,11.0,2025,Abu Dhabi,24,Qualifying
55,SAI,Williams,83.187,83.042,,12.0,2025,Abu Dhabi,24,Qualifying
30,LAW,Racing Bulls,83.265,83.077,,13.0,2025,Abu Dhabi,24,Qualifying
12,ANT,Mercedes,82.894,83.08,,14.0,2025,Abu Dhabi,24,Qualifying
18,STR,Aston Martin,83.316,83.097,,15.0,2025,Abu Dhabi,24,Qualifying
44,HAM,Ferrari,83.394,,,16.0,2025,Abu Dhabi,24,Qualifying
23,ALB,Williams,83.416,,,17.0,2025,Abu Dhabi,24,Qualifying
27,HUL,Kick Sauber,83.45,,,18.0,2025,Abu Dhabi,24,Qualifying
10,GAS,Alpine,83.468,,,19.0,2025,Abu Dhabi,24,Qualifying
43,COL,Alpine,83.89,,,20.0,2025,Abu Dhabi,24,Qualifying
