DriverNumber,Abbreviation,TeamName,GridPosition,Position,Status,Year,Event,RoundNumber,SessionType,Finished
18,STR,Aston Martin,9.0,7.0,Finished,2023,Azerbaijan,4,Race,True
63,RUS,Mercedes,11.0,8.0,Finished,2023,Azerbaijan,4,Race,True
4,NOR,McLaren,7.0,9.0,Finished,2023,Azerbaijan,4,Race,True
22,TSU,AlphaTauri,8.0,10.0,Finished,2023,Azerbaijan,4,Race,True
81,PIA,McLaren,10.0,11.0,Finished,2023,Azerbaijan,4,Race,True
23,ALB,Williams,12.0,12.0,Finished,2023,Azerbaijan,4,Race,True
20,MAG,Haas F1 Team,16.0,13.0,Finished,2023,Azerbaijan,4,Race,True
10,GAS,Alpine,17.0,14.0,Finished,2023,Azerbaijan,4,Race,True
31,OCO,Alpine,19.0,15.0,Finished,2023,Azerbaijan,4,Race,True
2,SAR,Williams,14.0,16.0,Finished,2023,Azerbaijan,4,Race,True
27,HUL,Haas F1 Team,20.0,17.0,Lapped,2023,Azerbaijan,4,Race,True
77,BOT,Alfa Romeo,13.0,18.0,Lapped,2023,Azerbaijan,4,Race,True
24,ZHO,Alfa Romeo,15.0,19.0,Retired,2023,Azerbaijan,4,Race,False
21,DEV,AlphaTauri,18.0,20.0,Retired,2023,Azerbaijan,4,Race,False
1,VER,Red Bull Racing,9.0,1.0,Finished,2023,Miami,5,Race,True
11,PER,Red Bull Racing,1.0,2.0,Finished,2023,Miami,5,Race,True
14,ALO,Aston Martin,2.0,3.0,Finished,2023,Miami,5,Race,True
63,RUS,Mercedes,6.0,4.0,Finished,2023,Miami,5,Race,True
55,SAI,Ferrari,3.0,5.0,Finished,2023,Miami,5,Race,True
44,HAM,Mercedes,13.0,6.0,Finished,2023,Miami,5,Race,True
16,LEC,Ferrari,7.0,7.0,Finished,2023,Miami,5,Race,True
10,GAS,Alpine,5.0,8.0,Finished,2023,Miami,5,Race,True
31,OCO,Alpine,8.0,9.0,Finished,2023,Miami,5,Race,True
20,MAG,Haas F1 Team,4.0,10.0,Finished,2023,Miami,5,Race,True
22,TSU,AlphaTauri,17.0,11.0,Finished,2023,Miami,5,Race,True
18,STR,Aston Martin,18.0,12.0,Finished,2023,Miami,5,Race,True
77,BOT,Alfa Romeo,10.0,13.0,Finished,2023,Miami,5,Race,True
23,ALB,Williams,11.0,14.0,Finished,2023,Miami,5,Race,True
27,HUL,Haas F1 Team,12.0,15.0,Finished,2023,Miami,5,Race,True
24,ZHO,Alfa Romeo,14.0,16.0,Finished,2023,Miami,5,Race,True
4,NOR,McLaren,16.0,17.0,Finished,2023,Miami,5,Race,True
21,DEV,AlphaTauri,15.0,18.0,Finished,2023,Miami,5,Race,True
81,PIA,McLaren,19.0,19.0,Lapped,2023,Miami,5,Race,True
2,SAR,Williams,20.0,20.0,Lapped,2023,Miami,5,Race,True
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,Monaco,6,Race,True
14,ALO,Aston Martin,2.0,2.0,Finished,2023,Monaco,6,Race,True
31,OCO,Alpine,3.0,3.0,Finished,2023,Monaco,6,Race,True
44,HAM,Mercedes,5.0,4.0,Finished,2023,Monaco,6,Race,True
63,RUS,Mercedes,8.0,5.0,Finished,2023,Monaco,6,Race,True
16,LEC,Ferrari,6.0,6.0,Finished,2023,Monaco,6,Race,True
10,GAS,Alpine,7.0,7.0,Finished,2023,Monaco,6,Race,True
55,SAI,Ferrari,4.0,8.0,Finished,2023,Monaco,6,Race,True
4,NOR,McLaren,10.0,9.0,Lapped,2023,Monaco,6,Race,True
81,PIA,McLaren,11.0,10.0,Lapped,2023,Monaco,6,Race,True
77,BOT,Alfa Romeo,15.0,11.0,Lapped,2023,Monaco,6,Race,True
21,DEV,AlphaTauri,12.0,12.0,Lapped,2023,Monaco,6,Race,True
24,ZHO,Alfa Romeo,19.0,13.0,Lapped,2023,Monaco,6,Race,True
23,ALB,Williams,13.0,14.0,Lapped,2023,Monaco,6,Race,True
22,TSU,AlphaTauri,9.0,15.0,Lapped,2023,Monaco,6,Race,True
11,PER,Red Bull Racing,20.0,16.0,Lapped,2023,Monaco,6,Race,True
27,HUL,Haas F1 Team,18.0,17.0,Lapped,2023,Monaco,6,Race,True
2,SAR,Williams,16.0,18.0,Lapped,2023,Monaco,6,Race,True
20,MAG,Haas F1 Team,17.0,19.0,Retired,2023,Monaco,6,Race,False
18,STR,Aston Martin,14.0,20.0,Retired,2023,Monaco,6,Race,False
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,Spanish,7,Race,True
44,HAM,Mercedes,4.0,2.0,Finished,2023,Spanish,7,Race,True
63,RUS,Mercedes,12.0,3.0,Finished,2023,Spanish,7,Race,True
11,PER,Red Bull Racing,11.0,4.0,Finished,2023,Spanish,7,Race,True
55,SAI,Ferrari,2.0,5.0,Finished,2023,Spanish,7,Race,True
18,STR,Aston Martin,5.0,6.0,Finished,2023,Spanish,7,Race,True
14,ALO,Aston Martin,8.0,7.0,Finished,2023,Spanish,7,Race,True
31,OCO,Alpine,6.0,8.0,Finished,2023,Spanish,7,Race,True
24,ZHO,Alfa Romeo,13.0,9.0,Finished,2023,Spanish,7,Race,True
10,GAS,Alpine,10.0,10.0,Finished,2023,Spanish,7,Race,True
16,LEC,Ferrari,19.0,11.0,Finished,2023,Spanish,7,Race,True
22,TSU,AlphaTauri,15.0,12.0,Finished,2023,Spanish,7,Race,True
81,PIA,McLaren,9.0,13.0,Lapped,2023,Spanish,7,Race,True
21,DEV,AlphaTauri,14.0,14.0,Lapped,2023,Spanish,7,Race,True
27,HUL,Haas F1 Team,7.0,15.0,Lapped,2023,Spanish,7,Race,True
23,ALB,Williams,18.0,16.0,Lapped,2023,Spanish,7,Race,True
4,NOR,McLaren,3.0,17.0,Lapped,2023,Spanish,7,Race,True
20,MAG,Haas F1 Team,17.0,18.0,Lapped,2023,Spanish,7,Race,True
77,BOT,Alfa Romeo,16.0,19.0,Lapped,2023,Spanish,7,Race,True
2,SAR,Williams,20.0,20.0,Lapped,2023,Spanish,7,Race,True
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,Canadian,8,Race,True
14,ALO,Aston Martin,2.0,2.0,Finished,2023,Canadian,8,Race,True
44,HAM,Mercedes,3.0,3.0,Finished,2023,Canadian,8,Race,True
16,LEC,Ferrari,10.0,4.0,Finished,2023,Canadian,8,Race,True
