Abbreviation,Year,RoundNumber,AvgFinishLast3,AvgFinishLast5,DNFRateLast5,AvgLapTime,AvgLapTimeLast3,AvgLapTimeLast5,AvgPitTime,AvgPitTimeLast3,AvgPitTimeLast5,AvgTeamFinishLast3,AvgTeamFinishLast5,TeamDNFRateLast5,AvgTeamPitTime,AvgTeamPitTimeLast3,AvgTeamPitTimeLast5,Event,GridPosition,QualiDelta,Corners,TrackLength,TotalLaps,TrackTemp,AirTemp,Rainfall,SafetyCar,VirtualSafetyCar,RedFlag,Position
VER,2023,12,1.0,1.0,0.0,111.559,81.606,80.132,22.953,23.574,23.365,3.333,2.8,0.0,23.07,23.38,23.12,Belgian,6.0,0.0,19,6736.97,44.0,28.24,17.87,0.07,False,False,False,1.0
PER,2023,12,4.0,4.4,0.0,112.054,82.14,80.67,23.187,23.192,22.879,1.667,2.4,0.0,23.07,23.38,23.12,Belgian,2.0,0.877,19,6736.97,44.0,28.24,17.87,0.07,False,False,False,2.0
LEC,2023,12,6.0,6.6,0.0,112.433,82.287,80.809,23.195,24.568,24.114,8.333,8.0,0.0,23.21,24.87,24.26,Belgian,1.0,0.82,19,6736.97,44.0,28.24,17.87,0.07,False,False,False,3.0
HAM,2023,12,5.0,4.0,0.0,112.362,82.232,80.61,23.099,24.338,23.94,5.0,5.2,0.0,23.28,24.15,28.11,Belgian,3.0,0.919,19,6736.97,44.0,28.24,17.87,0.07,False,False,False,4.0
ALO,2023,12,7.0,6.0,0.0,112.754,82.506,80.879,23.468,24.125,23.814,11.0,9.8,0.0,24.09,24.07,23.77,Belgian,9.0,1.675,19,6736.97,44.0,28.24,17.87,0.07,False,False,False,5.0
RUS,2023,12,6.0,8.0,0.2,113.209,82.454,81.008,23.828,23.951,36.6,4.667,4.4,0.0,23.28,24.15,28.11,Belgian,8.0,1.637,19,6736.97,44.0,28.24,17.87,0.07,False,False,False,6.0
NOR,2023,12,2.667,7.6,0.0,113.111,82.14,80.873,24.367,23.491,24.539,3.667,5.8,0.0,24.37,24.0,24.4,Belgian,7.0,1.501,19,6736.97,44.0,28.24,17.87,0.07,False,False,False,7.0
STR,2023,12,11.0,9.6,0.0,113.472,82.713,81.171,25.328,23.96,23.701,8.0,9.0,0.0,24.09,24.07,23.77,Belgian,10.0,2.673,19,6736.97,44.0,28.24,17.87,0.07,False,False,False,9.0
TSU,2023,12,16.667,15.2,0.0,113.402,83.247,81.517,22.686,25.216,24.662,15.0,16.0,0.0,22.89,24.39,24.07,Belgian,11.0,6.98,19,6736.97,44.0,28.24,17.87,0.07,False,False,False,10.0
BOT,2023,12,13.0,13.6,0.0,113.453,83.185,81.663,23.602,25.342,24.794,14.333,14.0,0.0,23.91,25.76,25.21,Belgian,13.0,8.526,19,6736.97,44.0,28.24,17.87,0.07,False,False,False,12.0
ZHO,2023,12,14.333,13.6,0.0,113.662,83.248,81.607,24.226,25.993,25.389,13.333,13.4,0.0,23.91,25.76,25.21,Belgian,17.0,14.664,19,6736.97,44.0,28.24,17.87,0.07,False,False,False,13.0
ALB,2023,12,10.0,10.6,0.0,113.317,82.897,81.461,24.057,24.496,24.396,13.333,12.2,0.2,23.86,24.31,24.28,Belgian,15.0,14.146,19,6736.97,44.0,28.24,17.87,0.07,False,False,False,14.0
MAG,2023,12,18.0,17.8,0.2,113.807,83.923,82.041,23.569,24.002,29.218,16.667,16.6,0.4,24.2,25.02,24.58,Belgian,16.0,7.992,19,6736.97,44.0,28.24,17.87,0.07,False,False,False,15.0
SAR,2023,12,14.0,16.4,0.4,113.636,83.208,82.008,23.554,23.788,24.107,14.333,12.4,0.2,23.86,24.31,24.28,Belgian,18.0,15.367,19,6736.97,44.0,28.24,17.87,0.07,False,False,False,17.0
HUL,2023,12,15.667,15.4,0.2,113.988,83.375,81.704,24.836,23.908,23.934,15.333,15.6,0.2,24.2,25.02,24.58,Belgian,20.0,16.998,19,6736.97,44.0,28.24,17.87,0.07,False,False,False,18.0
SAI,2023,12,8.0,6.8,0.0,115.909,82.36,80.8,23.235,24.883,24.23,6.0,7.4,0.0,23.21,24.87,24.26,Belgian,4.0,0.984,19,6736.97,44.0,28.24,17.87,0.07,False,False,False,19.0
VER,2023,13,1.0,1.0,0.0,77.163,95.683,86.596,430.198,24.505,23.493,2.0,2.6,0.0,430.58,24.36,23.35,Dutch,1.0,0.0,14,3747.58,72.0,24.94,16.79,0.23,True,True,True,1.0
ALO,2023,13,7.0,5.6,0.0,77.456,96.717,87.408,508.381,25.195,23.994,8.0,9.4,0.0,423.94,25.18,24.05,Dutch,5.0,0.939,14,3747.58,72.0,24.94,16.79,0.23,True,True,True,2.0
PER,2023,13,3.667,4.0,0.0,78.028,96.225,87.142,430.961,24.213,23.206,1.333,1.6,0.0,430.58,24.36,23.35,Dutch,7.0,1.313,14,3747.58,72.0,24.94,16.79,0.23,True,True,True,4.0
SAI,2023,13,12.333,9.6,0.2,77.993,97.706,88.011,504.572,24.708,24.408,10.0,9.4,0.2,368.97,25.27,24.42,Dutch,6.0,1.187,14,3747.58,72.0,24.94,16.79,0.23,True,True,True,5.0
HAM,2023,13,3.667,4.4,0.0,78.551,96.286,87.18,502.288,24.699,24.03,5.333,5.0,0.0,425.38,24.8,28.28,Dutch,13.0,9.584,14,3747.58,72.0,24.94,16.79,0.23,True,True,True,6.0
NOR,2023,13,3.667,5.6,0.0,78.483,96.461,87.453,427.786,24.789,23.908,10.667,7.6,0.2,463.68,24.82,24.16,Dutch,2.0,0.537,14,3747.58,72.0,24.94,16.79,0.23,True,True,True,7.0
ALB,2023,13,11.0,10.2,0.0,79.868,97.113,87.994,630.914,25.144,24.521,16.333,14.2,0.2,630.91,25.25,24.37,Dutch,4.0,0.852,14,3747.58,72.0,24.94,16.79,0.23,True,True,True,8.0
PIA,2023,13,9.667,11.2,0.2,80.05,82.598,81.187,506.76,24.396,23.984,11.333,8.2,0.2,463.68,24.82,24.16,Dutch,8.0,1.371,14,3747.58,72.0,24.94,16.79,0.23,True,True,True,9.0
STR,2023,13,11.0,10.2,0.0,79.478,97.159,87.85,363.63,25.372,24.198,5.333,7.0,0.0,423.94,25.18,24.05,Dutch,11.0,9.554,14,3747.58,72.0,24.94,16.79,0.23,True,True,True,11.0
HUL,2023,13,15.0,16.0,0.2,80.597,97.546,88.47,501.466,25.757,24.22,16.667,16.6,0.2,457.15,25.55,24.78,Dutch,14.0,9.683,14,3747.58,72.0,24.94,16.79,0.23,True,True,True,12.0
BOT,2023,13,12.0,12.2,0.0,80.976,97.326,88.16,499.532,25.336,24.735,13.667,13.6,0.0,286.98,26.25,25.29,Dutch,18.0,11.693,14,3747.58,72.0,24.94,16.79,0.23,True,True,True,14.0
TSU,2023,13,13.667,14.8,0.0,79.279,97.345,88.166,504.285,24.934,24.782,13.0,13.4,0.0,423.39,24.73,24.22,Dutch,17.0,9.663,14,3747.58,72.0,24.94,16.79,0.23,True,True,True,15.0
MAG,2023,13,17.0,17.2,0.2,79.084,97.965,88.722,420.219,23.614,23.716,15.0,15.2,0.0,457.15,25.55,24.78,Dutch,0.0,11.625,14,3747.58,72.0,24.94,16.79,0.23,True,True,True,16.0
RUS,2023,13,5.667,8.6,0.2,78.783,96.702,87.72,370.451,25.025,36.936,5.333,5.2,0.0,425.38,24.8,28.28,Dutch,3.0,0.727,14,3747.58,72.0,24.94,16.79,0.23,True,True,True,17.0
ZHO,2023,13,14.667,14.4,0.0,78.198,97.482,88.311,21.281,26.993,25.615,13.0,13.4,0.0,286.98,26.25,25.29,Dutch,15.0,11.5,14,3747.58,72.0,24.94,16.79,0.23,True,True,True,18.0
LEC,2023,13,6.333,5.0,0.0,80.169,96.488,87.271,29.952,25.546,24.267,9.0,8.4,0.2,368.97,25.27,24.42,Dutch,9.0,2.098,14,3747.58,72.0,24.94,16.79,0.23,True,True,True,19.0
VER,2023,14,1.0,1.0,0.0,86.182,90.716,86.708,24.281,158.222,104.775,2.333,2.2,0.0,24.06,158.37,104.76,Italian,2.0,0.013,11,5185.06,51.0,42.93,29.33,0.0,False,False,False,1.0
PER,2023,14,3.0,3.6,0.0,86.235,91.32,87.301,23.843,158.513,104.745,2.0,1.8,0.0,24.06,158.37,104.76,Italian,5.0,0.394,11,5185.06,51.0,42.93,29.33,0.0,False,False,False,2.0
SAI,2023,14,10.667,9.6,0.2,86.371,92.768,88.196,25.172,183.279,120.491,14.333,10.8,0.4,24.53,138.72,93.36,Italian,1.0,0.0,11,5185.06,51.0,42.93,29.33,0.0,False,False,False,3.0
LEC,2023,14,9.667,8.0,0.2,86.37,92.3,87.893,23.89,26.028,25.37,9.0,9.8,0.4,24.53,138.72,93.36,Italian,3.0,0.067,11,5185.06,51.0,42.93,29.33,0.0,False,False,False,4.0
RUS,2023,14,9.667,8.2,0.0,86.497,92.104,87.871,24.141,138.676,93.226,9.667,7.8,0.0,24.19,156.82,104.22,Italian,4.0,0.377,11,5185.06,51.0,42.93,29.33,0.0,False,False,False,5.0
HAM,2023,14,4.667,5.0,0.0,86.814,91.611,87.522,24.234,182.41,119.68,9.333,7.6,0.0,24.19,156.82,104.22,Italian,8.0,0.526,11,5185.06,51.0,42.93,29.33,0.0,False,False,False,6.0
ALB,2023,14,11.0,10.4,0.0,86.991,92.722,88.375,24.343,225.569,145.692,15.0,15.4,0.4,24.52,225.81,145.54,Italian,6.0,0.466,11,5185.06,51.0,42.93,29.33,0.0,False,False,False,7.0
NOR,2023,14,5.333,4.4,0.0,87.01,91.847,87.603,23.703,157.895,104.525,12.0,9.6,0.2,26.55,169.87,112.01,Italian,9.0,0.685,11,5185.06,51.0,42.93,29.33,0.0,False,False,False,8.0
ALO,2023,14,5.333,5.6,0.0,86.955,91.547,87.545,24.828,185.114,120.845,7.333,7.4,0.0,25.26,156.96,104.05,Italian,10.0,1.123,11,5185.06,51.0,42.93,29.33,0.0,False,False,False,9.0
BOT,2023,14,12.667,13.0,0.0,87.308,93.132,88.797,24.656,181.961,119.832,15.0,14.6,0.2,24.99,111.76,77.63,Italian,14.0,1.646,11,5185.06,51.0,42.93,29.33,0.0,False,False,False,10.0
PIA,2023,14,11.333,10.8,0.2,86.797,85.616,81.118,27.968,185.646,120.817,8.0,10.2,0.2,26.55,169.87,112.01,Italian,7.0,0.491,11,5185.06,51.0,42.93,29.33,0.0,False,False,False,12.0
SAR,2023,14,18.333,15.8,0.4,87.435,97.139,91.154,24.703,25.166,23.66,11.667,13.2,0.2,24.52,225.81,145.54,Italian,15.0,1.65,11,5185.06,51.0,42.93,29.33,0.0,False,False,False,13.0
ZHO,2023,14,15.667,14.8,0.2,87.095,92.385,88.321,25.156,23.838,24.697,14.0,13.4,0.2,24.99,111.76,77.63,Italian,16.0,2.096,11,5185.06,51.0,42.93,29.33,0.0,False,False,False,14.0
STR,2023,14,10.0,10.6,0.0,87.64,92.565,88.218,25.687,137.046,92.168,7.333,7.2,0.0,25.26,156.96,104.05,Italian,20.0,2.566,11,5185.06,51.0,42.93,29.33,0.0,False,False,False,16.0
HUL,2023,14,14.667,15.4,0.2,87.319,93.307,88.942,25.203,182.903,119.605,15.333,15.6,0.0,24.97,167.93,111.28,Italian,13.0,1.482,11,5185.06,51.0,42.93,29.33,0.0,False,False,False,17.0
MAG,2023,14,16.0,17.0,0.2,87.447,92.879,88.932,24.734,155.411,103.159,15.0,15.6,0.0,24.97,167.93,111.28,Italian,19.0,2.298,11,5185.06,51.0,42.93,29.33,0.0,False,False,False,18.0
SAI,2023,15,9.0,9.0,0.2,99.607,93.424,91.497,29.531,184.326,120.774,8.667,10.0,0.4,31.21,138.9,93.86,Singapore,1.0,0.0,19,4751.96,62.0,36.42,29.84,0.0,True,True,False,1.0
NOR,2023,15,7.333,5.2,0.0,99.669,92.868,90.975,29.469,158.619,105.171,9.667,11.2,0.2,29.37,171.53,112.94,Singapore,4.0,0.286,19,4751.96,62.0,36.42,29.84,0.0,True,True,False,2.0
HAM,2023,15,5.333,4.6,0.0,99.337,92.575,90.844,33.085,183.207,120.124,9.333,8.0,0.0,31.55,157.62,104.8,Singapore,5.0,0.501,19,4751.96,62.0,36.42,29.84,0.0,True,True,False,3.0
LEC,2023,15,8.667,8.4,0.2,99.935,92.991,91.201,32.891,25.679,26.096,2.667,6.4,0.2,31.21,138.9,93.86,Singapore,3.0,0.079,19,4751.96,62.0,36.42,29.84,0.0,True,True,False,4.0
VER,2023,15,1.0,1.0,0.0,99.657,91.635,90.079,29.671,159.144,105.599,2.333,2.0,0.0,29.33,159.24,105.54,Singapore,11.0,1.189,19,4751.96,62.0,36.42,29.84,0.0,True,True,False,5.0
PIA,2023,15,13.667,10.0,0.2,100.547,83.742,82.928,29.265,185.433,121.583,7.333,7.6,0.0,29.37,171.53,112.94,Singapore,17.0,1.918,19,4751.96,62.0,36.42,29.84,0.0,True,True,False,7.0
PER,2023,15,2.667,3.4,0.0,100.349,92.106,90.588,28.984,159.33,105.489,2.667,2.6,0.0,29.33,159.24,105.54,Singapore,13.0,1.326,19,4751.96,62.0,36.42,29.84,0.0,True,True,False,8.0
MAG,2023,15,16.333,17.0,0.2,100.504,93.446,92.085,32.195,156.174,103.159,17.0,16.2,0.0,33.29,168.77,111.76,Singapore,6.0,0.591,19,4751.96,62.0,36.42,29.84,0.0,True,True,False,10.0
ALB,2023,15,9.667,9.6,0.0,100.816,93.392,91.64,29.953,226.438,146.138,13.333,13.0,0.2,38.61,226.43,146.24,Singapore,14.0,2.735,19,4751.96,62.0,36.42,29.84,0.0,True,True,False,11.0
ZHO,2023,15,15.0,15.2,0.2,101.078,92.985,91.548,30.344,23.554,25.483,14.0,13.8,0.2,30.4,111.96,78.15,Singapore,19.0,2.274,19,4751.96,62.0,36.42,29.84,0.0,True,True,False,12.0
HUL,2023,15,15.667,14.8,0.0,101.233,93.968,92.111,35.484,183.835,120.788,15.0,14.6,0.0,33.29,168.77,111.76,Singapore,9.0,0.824,19,4751.96,62.0,36.42,29.84,0.0,True,True,False,13.0
SAR,2023,15,16.667,15.8,0.4,100.229,97.859,94.435,47.265,23.786,23.924,10.333,11.8,0.2,38.61,226.43,146.24,Singapore,18.0,2.268,19,4751.96,62.0,36.42,29.84,0.0,True,True,False,14.0
ALO,2023,15,5.333,6.4,0.0,100.529,92.389,90.913,41.616,185.559,121.759,12.0,9.4,0.0,41.62,157.76,104.95,Singapore,7.0,0.631,19,4751.96,62.0,36.42,29.84,0.0,True,True,False,15.0
RUS,2023,15,9.333,7.8,0.0,99.423,92.83,91.077,30.008,139.473,93.934,4.667,7.4,0.0,31.55,157.62,104.8,Singapore,2.0,0.072,19,4751.96,62.0,36.42,29.84,0.0,True,True,False,16.0
BOT,2023,15,12.0,12.0,0.0,101.143,93.912,92.053,30.5,182.596,120.039,12.0,13.6,0.2,30.4,111.96,78.15,Singapore,16.0,1.825,19,4751.96,62.0,36.42,29.84,0.0,True,True,False,17.0
VER,2023,16,2.333,1.8,0.0,97.217,87.667,91.597,23.984,161.383,105.724,5.0,4.0,0.0,-252.62,161.32,105.7,Japanese,1.0,0.0,18,5582.53,53.0,42.07,27.29,0.0,True,True,False,1.0
NOR,2023,16,5.667,5.2,0.0,97.525,88.387,92.444,23.367,160.319,105.371,7.0,7.6,0.0,23.55,173.2,113.1,Japanese,3.0,0.616,18,5582.53,53.0,42.07,27.29,0.0,True,True,False,2.0
PIA,2023,16,9.333,10.6,0.2,98.106,89.131,88.839,23.734,187.998,122.834,3.667,6.2,0.0,23.55,173.2,113.1,Japanese,2.0,0.581,18,5582.53,53.0,42.07,27.29,0.0,True,True,False,3.0
LEC,2023,16,9.0,7.4,0.2,98.209,88.825,92.641,22.944,28.911,26.973,3.0,6.2,0.2,23.03,141.57,94.38,Japanese,4.0,0.665,18,5582.53,53.0,42.07,27.29,0.0,True,True,False,4.0
HAM,2023,16,5.0,4.6,0.0,98.218,88.234,92.197,23.547,186.536,120.91,8.333,9.4,0.2,23.73,160.37,105.24,Japanese,7.0,1.031,18,5582.53,53.0,42.07,27.29,0.0,True,True,False,5.0
SAI,2023,16,3.0,7.2,0.2,98.303,87.991,92.857,23.117,186.425,120.908,3.0,3.2,0.0,23.03,141.57,94.38,Japanese,6.0,0.973,18,5582.53,53.0,42.07,27.29,0.0,True,True,False,6.0
RUS,2023,16,12.667,10.0,0.2,98.888,88.234,92.446,23.922,141.533,94.036,8.0,7.0,0.2,23.73,160.37,105.24,Japanese,8.0,1.342,18,5582.53,53.0,42.07,27.29,0.0,True,True,False,7.0
TSU,2023,16,18.0,15.8,0.4,99.342,92.642,88.484,23.031,183.542,120.524,13.0,14.0,0.4,23.17,160.02,105.16,Japanese,9.0,1.426,18,5582.53,53.0,42.07,27.29,0.0,True,True,False,12.0
ZHO,2023,16,14.667,14.6,0.2,99.282,88.79,93.066,29.692,25.593,25.403,14.333,14.2,0.4,39.65,114.12,78.13,Japanese,19.0,2.521,18,5582.53,53.0,42.07,27.29,0.0,True,True,False,13.0
HUL,2023,16,14.0,14.8,0.0,98.824,89.716,93.694,23.463,187.384,121.879,13.667,14.8,0.0,23.58,171.8,112.41,Japanese,18.0,2.422,18,5582.53,53.0,42.07,27.29,0.0,True,True,False,14.0
MAG,2023,16,14.667,15.2,0.0,99.33,89.012,93.317,23.75,159.05,104.633,12.333,14.4,0.0,23.58,171.8,112.41,Japanese,15.0,1.788,18,5582.53,53.0,42.07,27.29,0.0,True,True,False,15.0
ALB,2023,16,8.667,10.2,0.0,100.489,89.225,93.195,51.038,228.404,146.2,12.667,13.0,0.2,42.72,231.35,148.11,Japanese,13.0,1.66,18,5582.53,53.0,42.07,27.29,0.0,True,True,False,16.0
SAR,2023,16,15.667,16.4,0.4,100.463,93.391,95.816,37.182,31.841,29.493,13.667,12.2,0.2,42.72,231.35,148.11,Japanese,20.0,3.025,18,5582.53,53.0,42.07,27.29,0.0,True,True,False,17.0
PER,2023,16,4.667,3.8,0.0,100.299,88.204,92.109,-363.255,161.263,105.673,4.667,3.4,0.0,-252.62,161.32,105.7,Japanese,5.0,0.773,18,5582.53,53.0,42.07,27.29,0.0,True,True,False,19.0
BOT,2023,16,13.667,13.0,0.2,122.755,89.809,93.57,54.578,184.896,120.208,14.0,13.2,0.2,39.65,114.12,78.13,Japanese,16.0,2.172,18,5582.53,53.0,42.07,27.29,0.0,True,True,False,20.0
VER,2023,17,2.333,1.8,0.0,87.238,94.352,94.356,28.687,25.979,106.217,9.333,7.0,0.2,30.04,-66.41,50.88,Qatar,1.0,0.0,16,4935.1,57.0,36.93,31.46,0.0,True,False,False,1.0
PIA,2023,17,7.333,10.2,0.2,87.13,95.15,89.976,28.073,26.989,121.859,4.0,5.2,0.0,27.96,26.49,113.5,Qatar,6.0,0.762,16,4935.1,57.0,36.93,31.46,0.0,True,False,False,2.0
NOR,2023,17,4.0,5.2,0.0,87.377,94.735,95.16,27.838,25.513,105.738,2.333,3.2,0.0,27.96,26.49,113.5,Qatar,10.0,0.907,16,4935.1,57.0,36.93,31.46,0.0,True,False,False,3.0
RUS,2023,17,9.333,10.2,0.2,87.789,94.936,95.36,31.191,26.024,94.47,9.333,7.4,0.2,31.19,26.49,105.63,Qatar,2.0,0.441,16,4935.1,57.0,36.93,31.46,0.0,True,False,False,4.0
LEC,2023,17,4.0,6.8,0.2,87.84,94.838,95.423,27.864,26.575,26.575,4.667,3.8,0.0,27.86,26.26,94.19,Qatar,5.0,0.646,16,4935.1,57.0,36.93,31.46,0.0,True,False,False,5.0
OCO,2023,17,15.333,12.8,0.4,88.2,95.939,95.823,29.016,26.438,105.61,12.333,12.4,0.4,30.07,27.04,113.59,Qatar,8.0,0.985,16,4935.1,57.0,36.93,31.46,0.0,True,False,False,7.0
BOT,2023,17,15.667,14.6,0.4,88.733,103.735,101.127,29.448,36.578,126.573,16.667,15.2,0.4,29.16,31.68,81.19,Qatar,9.0,1.28,16,4935.1,57.0,36.93,31.46,0.0,True,False,False,8.0
ZHO,2023,17,13.0,14.0,0.2,88.46,95.818,95.863,28.869,28.397,26.14,13.667,14.0,0.4,29.16,31.68,81.19,Qatar,19.0,3.654,16,4935.1,57.0,36.93,31.46,0.0,True,False,False,9.0
PER,2023,17,9.667,7.0,0.2,88.457,95.628,95.393,31.39,-103.476,28.744,7.0,6.8,0.2,30.04,-66.41,50.88,Qatar,20.0,1.684,16,4935.1,57.0,36.93,31.46,0.0,True,False,False,10.0
GAS,2023,17,10.333,9.0,0.0,88.336,95.437,95.604,31.13,27.432,123.09,8.667,10.0,0.2,30.07,27.04,113.59,Qatar,7.0,0.775,16,4935.1,57.0,36.93,31.46,0.0,True,False,False,12.0
ALB,2023,17,11.333,11.2,0.2,88.519,96.099,96.296,29.023,35.112,152.061,15.667,14.2,0.4,29.19,35.28,152.12,Qatar,13.0,1.929,16,4935.1,57.0,36.93,31.46,0.0,True,False,False,13.0
MAG,2023,17,14.333,14.8,0.0,89.248,95.76,96.034,29.333,26.893,104.893,14.0,14.0,0.0,30.79,27.28,112.64,Qatar,18.0,3.268,16,4935.1,57.0,36.93,31.46,0.0,True,False,False,14.0
TSU,2023,17,17.0,15.2,0.4,89.045,97.341,94.131,27.713,183.334,120.424,14.0,14.2,0.4,28.22,26.61,105.22,Qatar,11.0,1.523,16,4935.1,57.0,36.93,31.46,0.0,True,False,False,15.0
HUL,2023,17,14.667,14.8,0.0,88.806,95.792,96.392,32.239,28.05,122.09,14.333,13.2,0.0,30.79,27.28,112.64,Qatar,14.0,2.005,16,4935.1,57.0,36.93,31.46,0.0,True,False,False,16.0
SAR,2023,17,14.667,16.2,0.4,89.69,96.042,98.854,29.351,36.383,31.161,15.333,14.2,0.4,29.19,35.28,152.12,Qatar,15.0,2.432,16,4935.1,57.0,36.93,31.46,0.0,True,False,False,18.0
VER,2023,18,2.333,1.8,0.0,101.345,94.704,89.491,24.375,27.448,107.364,10.0,7.8,0.2,24.2,-64.42,52.28,United States,6.0,0.358,20,5291.67,56.0,40.63,29.96,0.0,False,False,False,1.0
NOR,2023,18,2.333,4.4,0.0,101.603,94.857,90.013,23.758,26.891,106.433,2.667,3.4,0.0,23.76,26.96,114.22,United States,2.0,0.13,20,5291.67,56.0,40.63,29.96,0.0,False,False,False,2.0
SAI,2023,18,9.0,7.0,0.2,101.68,94.76,95.637,23.726,25.94,121.125,10.333,7.8,0.2,23.81,27.37,95.12,United States,4.0,0.222,20,5291.67,56.0,40.63,29.96,0.0,False,False,False,3.0
PER,2023,18,12.333,8.6,0.2,101.661,96.368,90.674,24.016,-100.96,30.385,4.0,6.4,0.2,24.2,-64.42,52.28,United States,9.0,0.45,20,5291.67,56.0,40.63,29.96,0.0,False,False,False,4.0
RUS,2023,18,9.0,9.8,0.2,101.733,95.367,90.276,24.242,28.374,95.943,10.0,10.2,0.4,24.52,28.82,107.21,United States,5.0,0.356,20,5291.67,56.0,40.63,29.96,0.0,False,False,False,5.0
GAS,2023,18,9.333,9.2,0.0,102.173,95.862,90.539,24.413,29.134,124.185,9.667,11.2,0.2,24.41,28.58,114.79,United States,7.0,0.366,20,5291.67,56.0,40.63,29.96,0.0,False,False,False,6.0
TSU,2023,18,15.333,16.2,0.4,102.238,89.222,93.263,24.0,185.01,120.274,14.667,14.8,0.2,24.57,27.91,106.29,United States,11.0,0.974,20,5291.67,56.0,40.63,29.96,0.0,False,False,False,8.0
ALB,2023,18,13.333,11.0,0.2,102.851,96.608,91.337,24.39,36.672,153.054,16.0,15.6,0.6,24.39,36.84,153.19,United States,15.0,1.592,20,5291.67,56.0,40.63,29.96,0.0,False,False,False,9.0
HUL,2023,18,14.333,14.4,0.0,102.752,96.287,91.356,25.523,30.395,123.571,15.0,14.4,0.0,25.27,29.22,113.96,United States,18.0,1.512,20,5291.67,56.0,40.63,29.96,0.0,False,False,False,11.0
BOT,2023,18,15.0,13.8,0.4,103.021,104.21,96.183,24.921,38.175,127.743,12.333,13.4,0.4,25.06,33.07,82.24,United States,13.0,1.135,20,5291.67,56.0,40.63,29.96,0.0,False,False,False,12.0
ZHO,2023,18,11.333,13.2,0.2,103.122,96.273,90.822,25.203,29.635,27.068,9.667,12.4,0.2,25.06,33.07,82.24,United States,12.0,0.975,20,5291.67,56.0,40.63,29.96,0.0,False,False,False,13.0
MAG,2023,18,13.0,14.6,0.0,103.122,96.361,91.122,24.75,28.426,106.046,13.667,14.0,0.0,25.27,29.22,113.96,United States,17.0,1.157,20,5291.67,56.0,40.63,29.96,0.0,False,False,False,14.0
ALO,2023,18,9.667,8.0,0.0,102.44,95.704,90.305,25.008,31.369,125.463,8.0,10.0,0.2,24.59,31.31,108.62,United States,19.0,1.545,20,5291.67,56.0,40.63,29.96,0.0,False,False,False,16.0
HAM,2023,18,9.0,7.8,0.2,101.328,94.79,95.056,24.788,26.956,121.251,9.333,8.0,0.2,24.52,28.82,107.21,United States,3.0,0.139,20,5291.67,56.0,40.63,29.96,0.0,False,False,False,19.0
LEC,2023,18,4.333,7.2,0.2,102.162,95.328,90.505,23.984,27.9,27.508,9.333,7.6,0.2,23.81,27.37,95.12,United States,1.0,0.0,20,5291.67,56.0,40.63,29.96,0.0,False,False,False,20.0
VER,2023,19,1.0,1.8,0.0,82.711,95.267,94.328,417.982,25.682,26.2,5.0,7.0,0.2,417.98,-66.13,-29.0,Mexico City,3.0,0.097,17,4045.59,71.0,45.64,25.55,0.0,True,True,True,1.0
HAM,2023,19,14.333,10.4,0.4,83.151,99.628,92.85,617.52,27.14,121.588,14.333,10.8,0.4,618.87,26.48,27.04,Mexico City,6.0,0.288,17,4045.59,71.0,45.64,25.55,0.0,True,True,True,2.0
LEC,2023,19,9.667,7.4,0.2,83.276,96.07,94.903,616.34,24.931,26.315,14.333,10.8,0.4,617.55,24.9,26.09,Mexico City,1.0,0.0,17,4045.59,71.0,45.64,25.55,0.0,True,True,True,3.0
SAI,2023,19,9.667,6.6,0.2,83.423,99.863,92.791,618.755,25.458,121.224,8.667,10.2,0.4,617.55,24.9,26.09,Mexico City,2.0,0.067,17,4045.59,71.0,45.64,25.55,0.0,True,True,True,4.0
NOR,2023,19,2.333,3.4,0.0,84.308,95.502,94.637,424.144,24.987,25.627,7.333,5.4,0.2,503.06,25.09,26.24,Mexico City,17.0,4.388,17,4045.59,71.0,45.64,25.55,0.0,True,True,True,5.0
RUS,2023,19,5.333,7.4,0.2,84.587,96.137,94.866,620.216,26.452,26.701,8.667,9.8,0.4,618.87,26.48,27.04,Mexico City,8.0,0.508,17,4045.59,71.0,45.64,25.55,0.0,True,True,True,6.0
ALB,2023,19,12.667,11.2,0.2,84.913,97.286,95.933,625.817,34.817,31.75,12.333,13.4,0.4,625.82,32.1,31.89,Mexico City,14.0,1.981,17,4045.59,71.0,45.64,25.55,0.0,True,True,True,9.0
GAS,2023,19,9.333,9.8,0.0,85.061,96.432,95.364,624.114,26.673,27.568,11.333,10.6,0.2,824.89,26.46,27.12,Mexico City,11.0,1.355,17,4045.59,71.0,45.64,25.55,0.0,True,True,True,11.0
TSU,2023,19,11.667,14.8,0.4,84.925,96.875,96.661,624.051,24.915,120.343,10.0,12.4,0.0,621.89,25.32,26.53,Mexico City,18.0,1.724,17,4045.59,71.0,45.64,25.55,0.0,True,True,True,12.0
HUL,2023,19,13.667,14.2,0.0,85.348,96.794,95.787,621.434,27.075,28.382,13.667,14.0,0.0,621.43,26.55,27.58,Mexico City,12.0,1.358,17,4045.59,71.0,45.64,25.55,0.0,True,True,True,13.0
ZHO,2023,19,11.667,12.2,0.0,85.297,96.954,95.807,626.231,27.921,27.853,11.333,12.4,0.2,626.39,31.29,29.85,Mexico City,10.0,0.884,17,4045.59,71.0,45.64,25.55,0.0,True,True,True,14.0
