Abbreviation,Year,RoundNumber,AvgFinishLast3,AvgFinishLast5,DNFRateLast5,AvgLapTime,AvgLapTimeLast3,AvgLapTimeLast5,AvgPitTime,AvgPitTimeLast3,AvgPitTimeLast5,AvgTeamFinishLast3,AvgTeamFinishLast5,TeamDNFRateLast5,AvgTeamPitTime,AvgTeamPitTimeLast3,AvgTeamPitTimeLast5,Event,GridPosition,QualiDelta,Corners,TrackLength,TotalLaps,TrackTemp,AirTemp,Rainfall,SafetyCar,VirtualSafetyCar,RedFlag,Position
TSU,2023,7,12.0,11.4,0.0,80.157,95.222,92.943,22.086,25.448,202.695,15.0,15.2,0.2,22.17,24.1,154.19,Spanish,15.0,2.205,14,4317.01,66.0,33.84,22.67,0.0,False,False,False,12.0
PIA,2023,7,13.333,12.6,0.0,80.398,95.054,92.783,22.594,23.031,204.338,12.667,13.2,0.0,25.55,23.93,230.25,Spanish,9.0,1.41,14,4317.01,66.0,33.84,22.67,0.0,False,False,False,13.0
DEV,2023,7,16.667,15.8,0.4,80.384,95.588,93.352,22.258,162.282,106.613,13.0,13.6,0.0,22.17,24.1,154.19,Spanish,14.0,1.811,14,4317.01,66.0,33.84,22.67,0.0,False,False,False,14.0
HUL,2023,7,16.333,13.6,0.0,80.157,95.117,92.719,23.406,26.288,265.142,17.0,15.6,0.2,23.21,28.9,207.06,Spanish,7.0,0.957,14,4317.01,66.0,33.84,22.67,0.0,False,False,False,15.0
ALB,2023,7,13.333,15.6,0.4,80.653,95.116,93.176,23.429,23.013,23.043,17.333,16.4,0.0,23.41,27.47,80.76,Spanish,18.0,1.791,14,4317.01,66.0,33.84,22.67,0.0,False,False,False,16.0
NOR,2023,7,11.667,11.6,0.0,80.21,94.688,92.493,27.52,24.486,265.089,10.667,13.6,0.0,25.55,23.93,230.25,Spanish,3.0,0.52,14,4317.01,66.0,33.84,22.67,0.0,False,False,False,17.0
MAG,2023,7,14.0,13.8,0.4,80.405,95.385,92.955,23.005,34.864,121.199,17.0,15.2,0.2,23.21,28.9,207.06,Spanish,17.0,1.77,14,4317.01,66.0,33.84,22.67,0.0,False,False,False,18.0
BOT,2023,7,14.0,14.2,0.0,80.97,95.249,93.196,23.898,25.032,141.457,11.0,12.4,0.0,23.5,23.99,152.32,Spanish,16.0,1.705,14,4317.01,66.0,33.84,22.67,0.0,False,False,False,19.0
SAR,2023,7,18.0,17.2,0.2,81.006,95.752,93.445,23.382,31.918,83.397,16.0,16.4,0.0,23.41,27.47,80.76,Spanish,20.0,2.427,14,4317.01,66.0,33.84,22.67,0.0,False,False,False,20.0
VER,2023,8,1.0,1.2,0.0,76.602,84.602,88.288,23.788,23.161,261.333,7.0,4.8,0.0,23.53,23.65,202.12,Canadian,1.0,0.0,14,3849.05,70.0,30.59,18.53,0.0,True,True,False,1.0
ALO,2023,8,4.0,3.8,0.0,76.767,84.942,88.664,24.124,65.356,286.941,11.0,9.4,0.2,23.95,44.36,274.4,Canadian,2.0,1.428,14,3849.05,70.0,30.59,18.53,0.0,True,True,False,2.0
HAM,2023,8,4.0,4.0,0.0,76.843,85.209,89.065,24.038,23.463,261.888,3.333,4.0,0.0,45.69,24.0,202.78,Canadian,3.0,1.769,14,3849.05,70.0,30.59,18.53,0.0,True,True,False,3.0
LEC,2023,8,8.0,9.4,0.2,77.062,85.444,91.449,24.437,23.14,22.09,8.0,7.4,0.0,24.3,23.45,202.97,Canadian,10.0,-5.243,14,3849.05,70.0,30.59,18.53,0.0,True,True,False,4.0
SAI,2023,8,6.0,7.0,0.0,77.067,85.26,88.95,24.156,23.752,203.25,6.667,6.8,0.0,24.3,23.45,202.97,Canadian,11.0,3.436,14,3849.05,70.0,30.59,18.53,0.0,True,True,False,5.0
PER,2023,8,7.333,5.6,0.0,77.233,85.078,88.671,23.265,23.545,166.344,2.0,4.6,0.0,23.53,23.65,202.12,Canadian,12.0,-4.899,14,3849.05,70.0,30.59,18.53,0.0,True,True,False,6.0
ALB,2023,8,14.667,15.0,0.2,77.959,86.09,89.954,25.062,23.796,22.768,18.0,17.6,0.0,25.06,28.25,81.2,Canadian,9.0,-7.133,14,3849.05,70.0,30.59,18.53,0.0,True,True,False,7.0
OCO,2023,8,6.667,9.8,0.2,77.648,85.475,89.388,24.062,23.458,140.542,8.333,7.4,0.0,24.93,23.88,163.97,Canadian,6.0,2.087,14,3849.05,70.0,30.59,18.53,0.0,True,True,False,8.0
STR,2023,8,12.667,9.8,0.2,77.64,84.197,88.382,23.781,23.359,261.855,5.0,7.4,0.2,23.95,44.36,274.4,Canadian,16.0,-4.374,14,3849.05,70.0,30.59,18.53,0.0,True,True,False,9.0
BOT,2023,8,14.333,14.4,0.0,77.793,86.189,90.101,24.046,25.835,141.876,13.667,13.6,0.0,25.26,24.6,152.68,Canadian,14.0,-4.037,14,3849.05,70.0,30.59,18.53,0.0,True,True,False,10.0
