DriverNumber,Abbreviation,TeamName,GridPosition,Position,Status,Year,Event,RoundNumber,SessionType,Finished,AvgFinishLast3,AvgFinishLast5,DNFRateLast5,AvgLapTime,AvgLapTimeLast3,AvgLapTimeLast5,AvgPitTime,AvgPitTimeLast3,AvgPitTimeLast5
27,HUL,Haas F1 Team,10.0,12.0,Finished,2023,Saudi Arabian,2,Race,True,,,,95.50011904761905,,,21.515,,
24,ZHO,Alfa Romeo,11.0,13.0,Finished,2023,Saudi Arabian,2,Race,True,,,,95.47438095238095,,,21.4765,,
21,DEV,AlphaTauri,18.0,14.0,Finished,2023,Saudi Arabian,2,Race,True,,,,95.84731111111111,,,21.109,,
81,PIA,McLaren,8.0,15.0,Finished,2023,Saudi Arabian,2,Race,True,,,,95.6653488372093,,,31.39,,
2,SAR,Williams,20.0,16.0,Finished,2023,Saudi Arabian,2,Race,True,,,,96.04499999999999,,,21.063,,
4,NOR,McLaren,19.0,17.0,Finished,2023,Saudi Arabian,2,Race,True,,,,95.72330952380952,,,25.381999999999998,,
77,BOT,Alfa Romeo,14.0,18.0,Lapped,2023,Saudi Arabian,2,Race,True,,,,96.445775,,,21.801333333333332,,
23,ALB,Williams,17.0,19.0,Retired,2023,Saudi Arabian,2,Race,False,,,,96.76331578947368,,,21.375,,
18,STR,Aston Martin,5.0,20.0,Retired,2023,Saudi Arabian,2,Race,False,,,,95.72675,,,21.156,,
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,Australian,3,Race,True,,,,81.94670454545455,,,1216.4336666666666,,
44,HAM,Mercedes,3.0,2.0,Finished,2023,Australian,3,Race,True,,,,83.00704444444445,,,1218.741,,
14,ALO,Aston Martin,4.0,3.0,Finished,2023,Australian,3,Race,True,,,,82.23184444444445,,,1215.4813333333334,,
18,STR,Aston Martin,6.0,4.0,Finished,2023,Australian,3,Race,True,,,,82.44671111111111,,,1216.0586666666666,,
11,PER,Red Bull Racing,20.0,5.0,Finished,2023,Australian,3,Race,True,,,,82.45746666666668,,,740.601,,
4,NOR,McLaren,13.0,6.0,Finished,2023,Australian,3,Race,True,,,,82.6802,,,1226.6053333333332,,
27,HUL,Haas F1 Team,10.0,7.0,Finished,2023,Australian,3,Race,True,,,,82.74446666666667,,,1225.3293333333334,,
81,PIA,McLaren,16.0,8.0,Finished,2023,Australian,3,Race,True,,,,83.08582222222222,,,921.2045,,
24,ZHO,Alfa Romeo,17.0,9.0,Finished,2023,Australian,3,Race,True,,,,83.42559090909091,,,737.007,,
22,TSU,AlphaTauri,12.0,10.0,Finished,2023,Australian,3,Race,True,,,,83.53638636363637,,,915.7275,,
77,BOT,Alfa Romeo,19.0,11.0,Finished,2023,Australian,3,Race,True,,,,83.78518181818183,,,610.3861666666667,,
55,SAI,Ferrari,5.0,12.0,Finished,2023,Australian,3,Race,True,,,,82.24695555555556,,,923.04,,
10,GAS,Alpine,9.0,13.0,Retired,2023,Australian,3,Race,False,,,,82.43877777777777,,,901.107,,
31,OCO,Alpine,11.0,14.0,Retired,2023,Australian,3,Race,False,,,,82.80037777777777,,,611.977,,
21,DEV,AlphaTauri,15.0,15.0,Retired,2023,Australian,3,Race,False,,,,84.15140476190476,,,439.034,,
2,SAR,Williams,18.0,16.0,Retired,2023,Australian,3,Race,False,,,,83.92461904761905,,,300.1658333333333,,
20,MAG,Haas F1 Team,14.0,17.0,Retired,2023,Australian,3,Race,False,,,,83.36611363636364,,,480.479,,
63,RUS,Mercedes,2.0,18.0,Retired,2023,Australian,3,Race,False,,,,84.85963636363637,,,474.885,,
23,ALB,Williams,8.0,19.0,Retired,2023,Australian,3,Race,False,,,,83.77166666666666,,,,,
16,LEC,Ferrari,7.0,20.0,Retired,2023,Australian,3,Race,False,,,,,,,,,
11,PER,Red Bull Racing,3.0,1.0,Finished,2023,Azerbaijan,4,Race,True,2.6666666666666665,,,105.66665957446807,91.21083481481482,,20.484,261.98116666666664,
1,VER,Red Bull Racing,2.0,2.0,Finished,2023,Azerbaijan,4,Race,True,1.3333333333333333,,,105.68489130434783,91.08475363636364,,20.749,420.6365555555555,
16,LEC,Ferrari,1.0,3.0,Finished,2023,Azerbaijan,4,Race,True,15.333333333333334,,,106.20810638297873,,,20.968,,
14,ALO,Aston Martin,6.0,4.0,Finished,2023,Azerbaijan,4,Race,True,3.0,,,106.26129787234042,91.47096207255849,,23.156,422.55094444444444,
55,SAI,Ferrari,4.0,5.0,Finished,2023,Azerbaijan,4,Race,True,7.333333333333333,,,106.72236170212766,91.69947629325632,,21.952,,
44,HAM,Mercedes,5.0,6.0,Finished,2023,Azerbaijan,4,Race,True,4.0,,,106.68855555555555,91.99966206119161,,20.313,421.48866666666663,
18,STR,Aston Martin,9.0,7.0,Finished,2023,Azerbaijan,4,Race,True,10.0,,,106.87115217391305,92.19512703703704,,23.14,420.7483888888889,
63,RUS,Mercedes,11.0,8.0,Finished,2023,Azerbaijan,4,Race,True,9.666666666666666,,,106.91820000000001,92.52130469737303,,20.898000000000003,173.79999999999998,
4,NOR,McLaren,7.0,9.0,Finished,2023,Azerbaijan,4,Race,True,13.333333333333334,,,107.51031111111111,92.30231019214703,,20.359,428.19783333333334,
22,TSU,AlphaTauri,8.0,10.0,Finished,2023,Azerbaijan,4,Race,True,10.666666666666666,,,107.6025,92.56657026936027,,20.484,320.7526111111111,
81,PIA,McLaren,10.0,11.0,Finished,2023,Azerbaijan,4,Race,True,14.333333333333334,,,107.69429545454545,93.28978429253777,,20.969,,
23,ALB,Williams,12.0,12.0,Finished,2023,Azerbaijan,4,Race,True,16.0,,,107.72972727272727,93.08064748538011,,21.078,,
20,MAG,Haas F1 Team,16.0,13.0,Finished,2023,Azerbaijan,4,Race,True,13.333333333333334,,,107.81084782608696,92.56874807526485,,30.937,175.5708888888889,
10,GAS,Alpine,17.0,14.0,Finished,2023,Azerbaijan,4,Race,True,10.333333333333334,,,107.27133333333333,91.98460745047373,,20.7185,315.66744444444447,
31,OCO,Alpine,19.0,15.0,Finished,2023,Azerbaijan,4,Race,True,13.333333333333334,,,107.71300000000001,92.3925965698653,,20.359,223.2543333333333,
2,SAR,Williams,14.0,16.0,Finished,2023,Azerbaijan,4,Race,True,14.666666666666666,,,108.04406818181819,92.95451927437641,,21.062,115.55516666666665,
27,HUL,Haas F1 Team,20.0,17.0,Lapped,2023,Azerbaijan,4,Race,True,11.333333333333334,,,108.00286046511627,92.39358160173161,,24.687,425.71866666666665,
77,BOT,Alfa Romeo,13.0,18.0,Lapped,2023,Azerbaijan,4,Race,True,12.333333333333334,,,108.15043902439024,92.96938696660482,,21.489333333333335,219.22116666666668,
24,ZHO,Alfa Romeo,15.0,19.0,Retired,2023,Azerbaijan,4,Race,False,12.666666666666666,,,108.66883333333334,92.71556508857573,,22.218,261.85894444444443,
21,DEV,AlphaTauri,18.0,20.0,Retired,2023,Azerbaijan,4,Race,False,14.333333333333334,,,109.32325,93.14988401440955,,,,
1,VER,Red Bull Racing,9.0,1.0,Finished,2023,Miami,5,Race,True,1.6666666666666667,,,91.75070370370369,93.8245774044796,,22.687,419.34722222222223,
11,PER,Red Bull Racing,1.0,2.0,Finished,2023,Miami,5,Race,True,2.3333333333333335,,,91.90268518518518,93.86736800630418,,21.906,260.5853333333333,
14,ALO,Aston Martin,2.0,3.0,Finished,2023,Miami,5,Race,True,3.3333333333333335,,,92.27712962962963,94.17632280124712,,22.688,421.8321111111111,
63,RUS,Mercedes,6.0,4.0,Finished,2023,Miami,5,Race,True,10.0,,,92.34266666666666,95.35223530961792,,22.329,172.20366666666666,
55,SAI,Ferrari,3.0,5.0,Finished,2023,Miami,5,Race,True,7.666666666666667,,,92.44130188679246,94.49836156651456,,22.281,,
44,HAM,Mercedes,13.0,6.0,Finished,2023,Miami,5,Race,True,4.333333333333333,,,92.63368518518519,94.77604057971014,,22.187,420.03866666666664,
16,LEC,Ferrari,7.0,7.0,Finished,2023,Miami,5,Race,True,10.0,,,92.68431481481483,99.75492002087748,,22.047,21.830166666666667,
10,GAS,Alpine,5.0,8.0,Finished,2023,Miami,5,Race,True,12.0,,,92.75355555555555,94.9382463393626,,22.453,314.1761666666667,
31,OCO,Alpine,8.0,9.0,Finished,2023,Miami,5,Race,True,12.333333333333334,,,92.78467924528302,95.1910653198653,,21.937,217.711,
20,MAG,Haas F1 Team,4.0,10.0,Finished,2023,Miami,5,Race,True,13.333333333333334,,,92.85428301886793,95.47719040618271,,22.578,177.446,
22,TSU,AlphaTauri,17.0,11.0,Finished,2023,Miami,5,Race,True,10.333333333333334,,,92.83874074074075,95.55031026936028,,22.25,319.2058333333334,
18,STR,Aston Martin,18.0,12.0,Finished,2023,Miami,5,Race,True,10.333333333333334,,,92.8076037735849,95.01487109500805,,22.594,420.1182222222222,
77,BOT,Alfa Romeo,10.0,13.0,Finished,2023,Miami,5,Race,True,15.666666666666666,,,92.97144444444444,96.127131947524,,23.234,217.89227777777776,
23,ALB,Williams,11.0,14.0,Finished,2023,Miami,5,Race,True,16.666666666666668,,,93.00301923076924,96.0882365762892,,22.437,22.418222222222223,
27,HUL,Haas F1 Team,12.0,15.0,Finished,2023,Miami,5,Race,True,12.0,,,92.99942592592593,95.415815393134,,23.219,423.8437777777777,
24,ZHO,Alfa Romeo,14.0,16.0,Finished,2023,Miami,5,Race,True,13.666666666666666,,,93.06051851851852,95.85626839826841,,22.75,260.2338333333333,
4,NOR,McLaren,16.0,17.0,Finished,2023,Miami,5,Race,True,10.666666666666666,,,93.1277962962963,95.30460687830687,,24.077,424.1154444444444,
21,DEV,AlphaTauri,15.0,18.0,Finished,2023,Miami,5,Race,True,16.333333333333332,,,93.14948148148149,96.44065529100529,,23.594,161.75066666666666,
81,PIA,McLaren,19.0,19.0,Lapped,2023,Miami,5,Race,True,11.333333333333334,,,93.71711320754716,95.48182217132565,,22.265,324.5211666666667,
2,SAR,Williams,20.0,20.0,Lapped,2023,Miami,5,Race,True,16.0,,,93.38398076923076,96.00456240981241,,48.906,114.09694444444443,
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,Monaco,6,Race,True,1.3333333333333333,1.4,0.0,82.81392,93.12743318450202,94.13797118342849,24.484,419.9565555555555,261.0691333333333
14,ALO,Aston Martin,2.0,2.0,Finished,2023,Monaco,6,Race,True,3.3333333333333335,3.2,0.0,82.43686111111111,93.59009064880483,94.59026274392912,150.81,420.4417777777778,262.69936666666666
31,OCO,Alpine,3.0,3.0,Finished,2023,Monaco,6,Race,True,12.666666666666666,12.8,0.4,83.46742253521127,94.43268567435359,95.5350937909758,25.311500000000002,218.091,142.41180000000003
44,HAM,Mercedes,5.0,4.0,Finished,2023,Monaco,6,Race,True,4.666666666666667,4.8,0.0,83.48056164383561,94.10976172839507,95.06424538486313,25.554000000000002,420.41366666666664,261.3932
63,RUS,Mercedes,8.0,5.0,Finished,2023,Monaco,6,Race,True,10.0,8.2,0.2,83.46037333333334,94.70683434343435,95.36495615175716,30.875,172.70399999999998,112.9254
16,LEC,Ferrari,6.0,6.0,Finished,2023,Monaco,6,Race,True,10.0,11.2,0.4,83.52743835616438,97.86548960561373,,24.9445,21.02566666666667,
10,GAS,Alpine,7.0,7.0,Finished,2023,Monaco,6,Race,True,11.666666666666666,10.6,0.2,83.31183098591549,94.15455555555555,95.19574224806202,26.922,314.7595,198.03476666666668
55,SAI,Ferrari,4.0,8.0,Finished,2023,Monaco,6,Race,True,7.333333333333333,6.4,0.0,83.485,93.80353971482522,94.85241849373782,26.6325,322.4243333333333,
4,NOR,McLaren,10.0,9.0,Lapped,2023,Monaco,6,Race,True,10.666666666666666,13.2,0.0,83.42471830985914,94.43943580246913,95.50900759676969,29.0225,423.6804444444444,265.80589999999995
81,PIA,McLaren,11.0,10.0,Lapped,2023,Monaco,6,Race,True,12.666666666666666,14.6,0.2,83.75198630136987,94.8324102947716,96.25615230794119,25.859,321.47950000000003,
77,BOT,Alfa Romeo,15.0,11.0,Lapped,2023,Monaco,6,Race,True,14.0,13.6,0.0,84.62552702702702,94.96902176233884,96.00600887372983,30.374,218.36983333333333,140.47736666666668
21,DEV,AlphaTauri,12.0,12.0,Lapped,2023,Monaco,6,Race,True,17.666666666666668,16.2,0.4,84.29086111111111,95.54137874779542,96.38447670494203,24.219,161.24566666666666,
24,ZHO,Alfa Romeo,19.0,13.0,Lapped,2023,Monaco,6,Race,True,14.666666666666666,14.6,0.2,84.82701408450704,95.05164758698093,95.9752094235158,25.7815,260.6583333333333,166.10896666666665
23,ALB,Williams,13.0,14.0,Lapped,2023,Monaco,6,Race,True,15.0,14.8,0.4,84.61410294117647,94.83480439005439,95.99493779192737,25.5225,21.63,
22,TSU,AlphaTauri,9.0,15.0,Lapped,2023,Monaco,6,Race,True,10.333333333333334,10.6,0.0,85.22617808219178,94.65920903479237,95.62819030976432,33.609,319.48716666666667,200.99836666666667
11,PER,Red Bull Racing,20.0,16.0,Lapped,2023,Monaco,6,Race,True,2.6666666666666665,2.2,0.0,83.635578125,93.34227047543997,94.24036984081954,27.174799999999998,260.997,165.6667
27,HUL,Haas F1 Team,18.0,17.0,Lapped,2023,Monaco,6,Race,True,13.0,13.2,0.0,84.34926470588235,94.5822510192363,95.63660623924741,30.957666666666668,424.4117777777778,265.01239999999996
2,SAR,Williams,16.0,18.0,Lapped,2023,Monaco,6,Race,True,17.333333333333332,16.0,0.2,85.82923529411765,95.11755599955599,96.05832135483564,25.786,123.37794444444444,83.32669999999999
20,MAG,Haas F1 Team,17.0,19.0,Retired,2023,Monaco,6,Race,False,13.333333333333334,12.6,0.2,85.49025,94.67708149377283,95.67427501414988,51.078,177.99799999999996,116.04553333333334
18,STR,Aston Martin,14.0,20.0,Retired,2023,Monaco,6,Race,False,7.666666666666667,9.8,0.2,79.70438,94.04182235286969,95.25282741172181,24.64,420.5975555555555,261.5958333333333
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,Spanish,7,Race,True,1.3333333333333333,1.4,0.0,79.24217241379311,93.41650500268383,91.20767118342849,22.3125,22.64,261.0425333333334
44,HAM,Mercedes,4.0,2.0,Finished,2023,Spanish,7,Race,True,5.333333333333333,4.6,0.0,79.5127868852459,94.26760079485878,92.08847371363024,22.6475,22.68466666666667,261.5714
63,RUS,Mercedes,12.0,3.0,Finished,2023,Spanish,7,Race,True,5.666666666666667,7.8,0.2,79.64918032786886,94.24041333333334,92.37194918577076,22.148,24.700666666666667,113.963
11,PER,Red Bull Racing,11.0,4.0,Finished,2023,Spanish,7,Race,True,6.333333333333333,5.0,0.0,79.6947213114754,93.73497429488441,91.42807346581954,21.554000000000002,23.188266666666664,166.16735999999997
55,SAI,Ferrari,2.0,5.0,Finished,2023,Spanish,7,Race,True,6.0,7.2,0.0,79.85462295081966,94.2162211963067,91.88427731726722,22.343,23.62183333333333,
18,STR,Aston Martin,5.0,6.0,Finished,2023,Spanish,7,Race,True,13.0,12.6,0.4,80.07831147540983,93.12771198249932,91.51131941172181,22.8435,23.458,261.5177333333333
14,ALO,Aston Martin,8.0,7.0,Finished,2023,Spanish,7,Race,True,3.0,3.0,0.0,80.11246666666666,93.65842953769372,91.44859182889643,22.57,65.55133333333333,287.79886666666664
31,OCO,Alpine,6.0,8.0,Finished,2023,Spanish,7,Race,True,9.0,9.8,0.2,80.17409836065573,94.65503392683144,92.36505954801804,23.124499999999998,22.535833333333333,140.0763
24,ZHO,Alfa Romeo,13.0,9.0,Finished,2023,Spanish,7,Race,True,16.0,14.0,0.2,80.14195,95.51878864545297,93.09126755956615,23.101,23.583166666666667,165.8466
10,GAS,Alpine,10.0,10.0,Finished,2023,Spanish,7,Race,True,9.666666666666666,10.2,0.2,80.14375409836066,94.44557329160146,92.17602511191178,23.492,23.364500000000003,198.3807
16,LEC,Ferrari,19.0,11.0,Finished,2023,Spanish,7,Race,True,5.333333333333333,8.6,0.2,80.12032786885246,94.13995318465265,95.09530264672233,22.429499999999997,22.653166666666667,22.4964
22,TSU,AlphaTauri,15.0,12.0,Finished,2023,Spanish,7,Race,True,12.0,11.4,0.0,80.15670491803279,95.22247294097751,92.94316992620267,22.086,25.447666666666667,202.6953
81,PIA,McLaren,9.0,13.0,Lapped,2023,Spanish,7,Race,True,13.333333333333334,12.6,0.0,80.39826666666666,95.05446498782082,92.78291320457879,22.5935,23.031000000000002,204.3375
21,DEV,AlphaTauri,14.0,14.0,Lapped,2023,Spanish,7,Race,True,16.666666666666668,15.8,0.4,80.38391666666666,95.58786419753086,93.3524616931217,22.2575,162.28233333333333,106.61300000000001
27,HUL,Haas F1 Team,7.0,15.0,Lapped,2023,Spanish,7,Race,True,16.333333333333332,13.6,0.0,80.15684210526315,95.11718369897487,92.71922736224205,23.406000000000002,26.28788888888889,265.1416
23,ALB,Williams,18.0,16.0,Lapped,2023,Spanish,7,Race,True,13.333333333333334,15.6,0.4,80.65335,95.11561648155767,93.17636638016266,23.429000000000002,23.012500000000003,23.042833333333334
4,NOR,McLaren,3.0,17.0,Lapped,2023,Spanish,7,Race,True,11.666666666666666,11.6,0.0,80.21015517241379,94.68760857242218,92.49326704821522,27.520333333333337,24.486166666666666,265.08916666666664
20,MAG,Haas F1 Team,17.0,18.0,Lapped,2023,Spanish,7,Race,True,14.0,13.8,0.4,80.405,95.3851269483183,92.95522084748322,23.00533333333333,34.86433333333331,121.19879999999998
77,BOT,Alfa Romeo,16.0,19.0,Lapped,2023,Spanish,7,Race,True,14.0,14.2,0.0,80.9701,95.24913683195389,93.19567346280871,23.898000000000003,25.032444444444447,141.4569666666667
2,SAR,Williams,20.0,20.0,Lapped,2023,Spanish,7,Race,True,18.0,17.2,0.2,81.00618333333334,95.7524280817222,93.44538065855713,23.381999999999998,31.918000000000003,83.39656666666666
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,Canadian,8,Race,True,1.0,1.2,0.0,76.60172131147542,84.60226537249893,88.28767839345984,23.7885,23.16116666666667,261.33323333333334
14,ALO,Aston Martin,2.0,2.0,Finished,2023,Canadian,8,Race,True,4.0,3.8,0.0,76.7671,84.9421524691358,88.66391994483845,24.1245,65.356,286.94106666666664
44,HAM,Mercedes,3.0,3.0,Finished,2023,Canadian,8,Race,True,4.0,4.0,0.0,76.84255737704918,85.2090112380889,89.06452674285335,24.0385,23.462833333333332,261.88849999999996
16,LEC,Ferrari,10.0,4.0,Finished,2023,Canadian,8,Race,True,8.0,9.4,0.2,77.06152459016393,85.44402701327722,91.4488470083716,24.437,23.14033333333333,22.090200000000003
55,SAI,Ferrari,11.0,5.0,Finished,2023,Canadian,8,Race,True,6.0,7.0,0.0,77.06733898305085,85.26030827920404,88.95004841905907,24.156,23.752166666666668,203.2497
11,PER,Red Bull Racing,12.0,6.0,Finished,2023,Canadian,8,Race,True,7.333333333333333,5.6,0.0,77.23303448275861,85.07766154055354,88.67142217255906,23.265,23.544933333333333,166.34395999999998
23,ALB,Williams,9.0,7.0,Finished,2023,Canadian,8,Race,True,14.666666666666666,15.0,0.2,77.95913114754097,86.09015739064857,89.95437322226795,25.062,23.796166666666668,22.768300000000004
31,OCO,Alpine,6.0,8.0,Finished,2023,Canadian,8,Race,True,6.666666666666667,9.8,0.2,77.64752459016393,85.47540004705,89.38791558378556,24.0625,23.457666666666668,140.5418
18,STR,Aston Martin,16.0,9.0,Finished,2023,Canadian,8,Race,True,12.666666666666666,9.8,0.2,77.63961016949153,84.19676508299824,88.38163170680377,23.781,23.359166666666667,261.85523333333333
77,BOT,Alfa Romeo,14.0,10.0,Finished,2023,Canadian,8,Race,True,14.333333333333334,14.4,0.0,77.79298333333332,86.18902382382383,90.10053846280871,24.046,25.835333333333335,141.8763
81,PIA,McLaren,8.0,11.0,Finished,2023,Canadian,8,Race,True,14.0,12.2,0.0,77.74337288135594,85.95578872519457,89.72949677047026,24.1405,23.5725,202.5782
10,GAS,Alpine,15.0,12.0,Finished,2023,Canadian,8,Race,True,8.333333333333334,10.4,0.2,77.6079827586207,85.40304687994391,89.18385035018856,25.8045,24.289,198.9385
4,NOR,McLaren,7.0,13.0,Finished,2023,Canadian,8,Race,True,14.333333333333334,11.6,0.0,77.73266666666667,85.58755659285642,89.39063617793606,24.7025,26.873277777777776,265.5168333333333
22,TSU,AlphaTauri,19.0,14.0,Finished,2023,Canadian,8,Race,True,12.666666666666666,11.6,0.0,77.6868813559322,86.07387458032177,89.87210202092032,25.5775,25.981666666666666,202.8313
27,HUL,Haas F1 Team,5.0,15.0,Lapped,2023,Canadian,8,Race,True,15.666666666666666,14.2,0.0,78.23693220338984,85.83517757902382,89.65057197377088,24.5385,25.860888888888894,265.5198
24,ZHO,Alfa Romeo,20.0,16.0,Lapped,2023,Canadian,8,Race,True,12.666666666666666,13.2,0.2,78.14694827586207,86.00982753434185,90.02478136908996,25.866500000000002,23.877499999999998,166.17149999999998
20,MAG,Haas F1 Team,13.0,17.0,Lapped,2023,Canadian,8,Race,True,15.666666666666666,15.4,0.4,78.03052631578947,86.24984433962265,89.9852988962637,24.734,32.220444444444425,121.61546666666666
21,DEV,AlphaTauri,17.0,18.0,Lapped,2023,Canadian,8,Race,True,14.666666666666666,15.8,0.4,79.22952631578947,85.94141975308644,90.2597828042328,24.461,23.356833333333338,106.04270000000001
63,RUS,Mercedes,4.0,19.0,Retired,2023,Canadian,8,Race,False,4.0,7.6,0.2,78.02997826086957,85.15074010928963,89.44601133830105,88.998,25.117333333333335,114.227
2,SAR,Williams,18.0,20.0,Retired,2023,Canadian,8,Race,False,19.333333333333332,18.0,0.2,79.4078,86.73979979889391,90.4376173252238,,,
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,Austrian,9,Race,True,1.0,1.2,0.0,69.32847368421052,79.5526045750895,87.218681746664,20.160249999999998,23.528333333333336,22.8042
16,LEC,Ferrari,2.0,2.0,Finished,2023,Austrian,9,Race,True,7.0,6.2,0.0,69.83123333333333,80.23643027172692,87.92034240259487,20.26,23.937,22.965200000000003
11,PER,Red Bull Racing,15.0,3.0,Finished,2023,Austrian,9,Race,True,8.666666666666666,5.8,0.0,69.8008596491228,80.187777973078,87.62653573577745,20.125,23.997933333333332,22.87676
4,NOR,McLaren,4.0,4.0,Finished,2023,Austrian,9,Race,True,13.0,13.0,0.0,70.14833898305085,80.4558467163132,88.4011295112694,20.47366666666667,27.081777777777784,25.136266666666668
14,ALO,Aston Martin,7.0,5.0,Finished,2023,Austrian,9,Race,True,3.6666666666666665,3.6,0.0,70.11954098360657,79.7721425925926,87.57097105594957,20.26033333333333,65.83483333333334,48.6697
55,SAI,Ferrari,3.0,6.0,Finished,2023,Austrian,9,Race,True,6.0,5.6,0.0,69.86851785714286,80.13565397795684,87.91412510455812,23.76,24.377166666666664,23.4729
63,RUS,Mercedes,11.0,7.0,Finished,2023,Austrian,9,Race,True,9.0,7.8,0.2,70.464421875,80.37984397402391,88.08007971774768,20.604,47.34033333333334,37.0496
44,HAM,Mercedes,5.0,8.0,Finished,2023,Austrian,9,Race,True,3.0,4.2,0.0,70.2004,79.94530196871023,87.8316293293743,22.015666666666664,24.080000000000002,22.948
18,STR,Aston Martin,6.0,9.0,Finished,2023,Austrian,9,Race,True,11.666666666666666,10.8,0.2,70.13331578947368,79.14076721496711,87.42021151847987,21.093,23.754833333333334,23.399700000000003
10,GAS,Alpine,9.0,10.0,Finished,2023,Austrian,9,Race,True,9.666666666666666,10.2,0.0,70.4211090909091,80.35452261429894,88.21769134635714,21.833,25.406166666666667,23.878
23,ALB,Williams,10.0,11.0,Finished,2023,Austrian,9,Race,True,12.333333333333334,12.6,0.0,70.66871929824562,81.07552802957248,88.7918661184428,22.114,24.671166666666668,23.5057
