DriverNumber,Abbreviation,TeamName,GridPosition,Position,Status,Year,Event,RoundNumber,SessionType,Finished,AvgFinishLast3,AvgFinishLast5,DNFRateLast5,AvgLapTime,AvgLapTimeLast3,AvgLapTimeLast5,AvgPitTime,AvgPitTimeLast3,AvgPitTimeLast5
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,Bahrain,1,Race,True,,,,97.46542,,,24.617,,
11,PER,Red Bull Racing,2.0,2.0,Finished,2023,Bahrain,1,Race,True,,,,97.69706000000001,,,24.6715,,
14,ALO,Aston Martin,5.0,3.0,Finished,2023,Bahrain,1,Race,True,,,,98.14521568627451,,,25.3125,,
55,SAI,Ferrari,4.0,4.0,Finished,2023,Bahrain,1,Race,True,,,,98.32570588235293,,,24.3905,,
44,HAM,Mercedes,7.0,5.0,Finished,2023,Bahrain,1,Race,True,,,,98.35941999999999,,,24.663,,
18,STR,Aston Martin,8.0,6.0,Finished,2023,Bahrain,1,Race,True,,,,98.41192,,,25.0305,,
63,RUS,Mercedes,6.0,7.0,Finished,2023,Bahrain,1,Race,True,,,,98.42540816326532,,,25.687,,
77,BOT,Alfa Romeo,12.0,8.0,Finished,2023,Bahrain,1,Race,True,,,,98.67720408163265,,,25.476,,
10,GAS,Alpine,20.0,9.0,Finished,2023,Bahrain,1,Race,True,,,,98.41041666666666,,,25.192333333333334,,
23,ALB,Williams,15.0,10.0,Finished,2023,Bahrain,1,Race,True,,,,98.70696,,,24.801666666666666,,
22,TSU,AlphaTauri,14.0,11.0,Finished,2023,Bahrain,1,Race,True,,,,98.65128,,,25.124333333333336,,
2,SAR,Williams,16.0,12.0,Lapped,2023,Bahrain,1,Race,True,,,,98.89393877551021,,,25.436666666666667,,
20,MAG,Haas F1 Team,17.0,13.0,Lapped,2023,Bahrain,1,Race,True,,,,99.08552083333332,,,25.311666666666667,,
21,DEV,AlphaTauri,19.0,14.0,Lapped,2023,Bahrain,1,Race,True,,,,99.45093617021277,,,25.109,,
27,HUL,Haas F1 Team,10.0,15.0,Lapped,2023,Bahrain,1,Race,True,,,,98.93615909090909,,,30.311666666666667,,
24,ZHO,Alfa Romeo,13.0,16.0,Lapped,2023,Bahrain,1,Race,True,,,,99.2467234042553,,,27.093333333333334,,
4,NOR,McLaren,11.0,17.0,Lapped,2023,Bahrain,1,Race,True,,,,98.50342105263158,,,32.60616666666667,,
31,OCO,Alpine,9.0,18.0,Retired,2023,Bahrain,1,Race,False,,,,99.31759375,,,36.989000000000004,,
16,LEC,Ferrari,3.0,19.0,Retired,2023,Bahrain,1,Race,False,,,,98.35260606060606,,,24.4605,,
81,PIA,McLaren,18.0,20.0,Retired,2023,Bahrain,1,Race,False,,,,101.11818181818181,,,,,
11,PER,Red Bull Racing,1.0,1.0,Finished,2023,Saudi Arabian,2,Race,True,,,,93.47797777777778,,,20.671,,
1,VER,Red Bull Racing,15.0,2.0,Finished,2023,Saudi Arabian,2,Race,True,,,,93.84213636363637,,,20.859,,
14,ALO,Aston Martin,2.0,3.0,Finished,2023,Saudi Arabian,2,Race,True,,,,94.03582608695652,,,26.859,,
63,RUS,Mercedes,3.0,4.0,Finished,2023,Saudi Arabian,2,Race,True,,,,94.2788695652174,,,20.828,,
44,HAM,Mercedes,7.0,5.0,Finished,2023,Saudi Arabian,2,Race,True,,,,94.63252173913044,,,21.062,,
55,SAI,Ferrari,4.0,6.0,Finished,2023,Saudi Arabian,2,Race,True,,,,94.52576744186047,,,,,
16,LEC,Ferrari,12.0,7.0,Finished,2023,Saudi Arabian,2,Race,True,,,,94.70404761904763,,,20.062,,
31,OCO,Alpine,6.0,8.0,Finished,2023,Saudi Arabian,2,Race,True,,,,95.05981818181817,,,20.797,,
10,GAS,Alpine,9.0,9.0,Finished,2023,Saudi Arabian,2,Race,True,,,,95.10462790697675,,,20.703,,
20,MAG,Haas F1 Team,13.0,10.0,Finished,2023,Saudi Arabian,2,Race,True,,,,95.25460975609755,,,20.922,,
22,TSU,AlphaTauri,16.0,11.0,Finished,2023,Saudi Arabian,2,Race,True,,,,95.51204444444446,,,21.406,,
